,date,headline,keyword
140,2006.12.11. 오후 3:46,연말 부동산 재테크 동남아 호텔·콘도에 투자 몰릴 듯,"['연말', '부동산', '재테크', '동남아', '호텔', '콘도', '투자', '듯']"
141,2006.12.11. 오후 3:38,2007년 반값 아파트 등 주목해야,"['2007', '2007년', '년', '반값', '아파트', '등', '주목']"
142,2006.12.11. 오후 3:33,시세 동향 도봉등 강북권 여전히 상승,"['시세', '동향', '도봉', '도봉등', '등', '강북', '상승']"
143,2006.12.11. 오후 3:08,이용섭 신임건교 부동산 맞춤형 대책으로 해결,"['용섭', '신임', '신임건교', '건', '교', '부동산', '맞춤', '맞춤형', '형', '대책', '해결']"
144,2006.12.11. 오후 3:06,국도 38호선 사북고한 구간 4차로 확장,"['국도', '38', '38호선', '호', '선', '사북', '사북고한', '고한', '구간', '4', '4차', '차', '확장']"
145,2006.12.11. 오후 2:45,신한銀주택대출제한...확산되나상보,"['신한', '주택', '주택대출제한', '대출', '제한', '확산', '상보']"
146,2006.12.11. 오후 2:34,대체전주市 분양가 상한제 도입,"['대체', '대체전주', '전주', '분양', '상한제', '도입']"
147,2006.12.11. 오후 2:14,이용섭 건교장관의 선비론 눈길,"['용섭', '건', '건교장관', '교', '장관', '선비', '눈길']"
148,2006.12.11. 오후 2:08,‘11ㆍ15대책’ 내년초 成敗갈린다,"['11', '11ㆍ15대책', 'ㆍ', '15', '대책', '내년', '내년초', '초']"
149,2006.12.11. 오후 2:08,아파트 시총 작년보다 300兆↑,"['아파트', '시', '시총', '총', '작년', '300']"
150,2006.12.11. 오후 2:08,금주의 부동산 캘린더수원지역 신규분양 봇물,"['금', '금주의', '주의', '부동산', '캘린더', '캘린더수원지역', '수원', '지역', '신규', '신규분양', '분양', '봇물']"
151,2006.12.11. 오후 2:08,실거래ㆍ공시가 들쭉날쭉 형평성 논란속 신뢰 흔들,"['실거래ㆍ공시', '형평', '논란', '논란속', '속', '신뢰']"
152,2006.12.11. 오후 2:08,수억대 프리미엄 초강세 행진,"['수', '수억대', '억대', '프리미엄', '초강세', '행진']"
153,2006.12.11. 오후 2:08,삼송 개발승인… 수도권 서북부 집값 견인,"['삼송', '개발', '개발승인', '승인', '수도권', '서북부', '집값', '견인']"
154,2006.12.11. 오후 2:08,경원선 개통… 녹양ㆍ양주 가격상승 기대,"['경원선', '개통', '녹양', '녹양ㆍ양주', 'ㆍ', '양주', '가격', '가격상승', '상승', '기대']"
155,2006.12.11. 오후 2:08,한국 최장 현수교 나온다,"['한국', '최장', '현수교']"
156,2006.12.11. 오후 2:08,‘한지붕 두가족’ 금호ㆍ대우 향방 관심,"['지붕', '가족', '금', '금호ㆍ대우', '호', 'ㆍ', '대우', '향방', '관심']"
157,2006.12.11. 오후 2:06,‘손에 잡히는 경매’ 1기 과정 개설,"['손', '경매', '1', '1기', '기', '과정', '개설']"
158,2006.12.11. 오후 2:00,李건교 부동산 현안과제 조기매듭,"['교', '부동산', '현안', '현안과제', '과제', '조기', '조기매듭', '매듭']"
159,2006.12.11. 오후 1:46,전주市 분양가 자율화 8년만에 철회,"['전주', '분양', '자율화', '8', '8년만', '년', '만', '철회']"
160,2006.12.11. 오후 1:45,아파트 시가총액 1년간 300조 증가,"['아파트', '시가', '시가총액', '총액', '1', '1년간', '년', '간', '300', '300조', '조', '증가']"
161,2006.12.11. 오후 1:44,별내신도시 오염총량제 걸림돌,"['별', '별내신도시', '내신', '도시', '오염', '오염총량', '총량', '걸림돌']"
162,2006.12.11. 오후 1:34,내년 집값 좌우할 4대 관전포인트,"['내년', '집값', '좌우', '4', '4대', '대', '관전', '관전포인트', '포인트']"
163,2006.12.11. 오후 12:48,SH공사 임대주택 914가구 공급,"['공사', '임대', '임대주택', '주택', '914', '914가구', '가구', '공급']"
164,2006.12.11. 오후 12:16,입주권포기에 종부세..대구재건축조합 울상,"['입주권', '입주권포기', '포기', '종', '종부세', '부세', '대구', '건축', '건축조합', '조합', '울상']"
165,2006.12.11. 오후 12:12,신한銀 주택담보대출 다시 전면 중단,"['신한', '주택', '주택담보대출', '담보', '대출', '전면', '중단']"
