,total,약세,안정세,보합세,보합
473,3.0,0.0,1.0,0.0,2.0
474,5.0,0.0,1.0,2.0,2.0
475,1.0,0.0,0.0,1.0,0.0
476,0.0,0.0,0.0,0.0,0.0
477,1.0,0.0,0.0,1.0,0.0
478,0.0,0.0,0.0,0.0,0.0
479,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0,0.0
482,3.0,0.0,0.0,1.0,2.0
483,2.0,0.0,1.0,0.0,1.0
484,0.0,0.0,0.0,0.0,0.0
485,2.0,1.0,1.0,0.0,0.0
486,4.0,0.0,0.0,3.0,1.0
487,0.0,0.0,0.0,0.0,0.0
488,1.0,0.0,0.0,1.0,0.0
489,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0
491,5.0,0.0,0.0,1.0,4.0
492,0.0,0.0,0.0,0.0,0.0
493,0.0,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0,0.0
495,3.0,0.0,0.0,0.0,3.0
496,0.0,0.0,0.0,0.0,0.0
497,1.0,0.0,0.0,1.0,0.0
498,1.0,1.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0,0.0
500,5.0,0.0,0.0,0.0,5.0
501,4.0,3.0,0.0,0.0,1.0
502,0.0,0.0,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0,0.0
504,0.0,0.0,0.0,0.0,0.0
505,0.0,0.0,0.0,0.0,0.0
506,0.0,0.0,0.0,0.0,0.0
507,0.0,0.0,0.0,0.0,0.0
508,0.0,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0,0.0
510,2.0,1.0,0.0,0.0,1.0
511,0.0,0.0,0.0,0.0,0.0
512,2.0,0.0,0.0,1.0,1.0
513,0.0,0.0,0.0,0.0,0.0
514,0.0,0.0,0.0,0.0,0.0
515,0.0,0.0,0.0,0.0,0.0
516,1.0,0.0,0.0,0.0,1.0
517,1.0,0.0,0.0,1.0,0.0
518,1.0,0.0,0.0,1.0,0.0
519,1.0,0.0,1.0,0.0,0.0
520,5.0,0.0,0.0,2.0,3.0
521,7.0,1.0,1.0,3.0,2.0
522,6.0,0.0,0.0,2.0,4.0
523,5.0,0.0,0.0,4.0,1.0
524,5.0,0.0,0.0,3.0,2.0
525,9.0,2.0,0.0,3.0,4.0
526,8.0,0.0,0.0,3.0,5.0
527,0.0,0.0,0.0,0.0,0.0
528,1.0,0.0,0.0,1.0,0.0
529,1.0,0.0,0.0,0.0,1.0
530,6.0,0.0,0.0,3.0,3.0
531,3.0,1.0,0.0,2.0,0.0
532,3.0,2.0,0.0,0.0,1.0
533,3.0,0.0,0.0,1.0,2.0
534,0.0,0.0,0.0,0.0,0.0
535,1.0,0.0,0.0,0.0,1.0
536,3.0,0.0,0.0,2.0,1.0
537,2.0,0.0,0.0,0.0,2.0
538,1.0,1.0,0.0,0.0,0.0
539,4.0,0.0,0.0,1.0,3.0
540,1.0,0.0,0.0,1.0,0.0
541,0.0,0.0,0.0,0.0,0.0
542,2.0,0.0,0.0,1.0,1.0
543,5.0,2.0,0.0,1.0,2.0
544,7.0,0.0,4.0,1.0,2.0
545,1.0,0.0,0.0,0.0,1.0
546,0.0,0.0,0.0,0.0,0.0
547,4.0,0.0,0.0,0.0,4.0
548,0.0,0.0,0.0,0.0,0.0
549,0.0,0.0,0.0,0.0,0.0
550,6.0,0.0,1.0,5.0,0.0
551,0.0,0.0,0.0,0.0,0.0
552,4.0,1.0,1.0,0.0,2.0
553,0.0,0.0,0.0,0.0,0.0
554,0.0,0.0,0.0,0.0,0.0
555,0.0,0.0,0.0,0.0,0.0
556,1.0,0.0,0.0,0.0,1.0
557,0.0,0.0,0.0,0.0,0.0
558,1.0,0.0,0.0,1.0,0.0
559,0.0,0.0,0.0,0.0,0.0
560,0.0,0.0,0.0,0.0,0.0
561,0.0,0.0,0.0,0.0,0.0
562,0.0,0.0,0.0,0.0,0.0
563,1.0,0.0,1.0,0.0,0.0
564,4.0,0.0,1.0,3.0,0.0
565,13.0,12.0,0.0,0.0,1.0
566,0.0,0.0,0.0,0.0,0.0
567,2.0,1.0,0.0,1.0,0.0
568,3.0,0.0,0.0,1.0,2.0
569,7.0,1.0,0.0,2.0,4.0
570,3.0,1.0,0.0,0.0,2.0
571,1.0,0.0,1.0,0.0,0.0
572,7.0,1.0,2.0,0.0,4.0
573,3.0,1.0,0.0,0.0,2.0
574,5.0,0.0,0.0,1.0,4.0
575,8.0,2.0,0.0,2.0,4.0
576,1.0,0.0,0.0,1.0,0.0
577,2.0,1.0,0.0,1.0,0.0
578,5.0,2.0,1.0,0.0,2.0
579,5.0,3.0,0.0,0.0,2.0
580,2.0,0.0,1.0,0.0,1.0
581,1.0,1.0,0.0,0.0,0.0
582,1.0,0.0,1.0,0.0,0.0
583,2.0,0.0,1.0,1.0,0.0
584,1.0,0.0,0.0,1.0,0.0
585,2.0,0.0,1.0,0.0,1.0
586,0.0,0.0,0.0,0.0,0.0
587,1.0,0.0,0.0,1.0,0.0
588,2.0,1.0,0.0,1.0,0.0
589,5.0,0.0,1.0,2.0,2.0
590,3.0,0.0,1.0,1.0,1.0
591,0.0,0.0,0.0,0.0,0.0
592,0.0,0.0,0.0,0.0,0.0
593,0.0,0.0,0.0,0.0,0.0
594,0.0,0.0,0.0,0.0,0.0
595,3.0,0.0,1.0,1.0,1.0
596,0.0,0.0,0.0,0.0,0.0
597,2.0,0.0,0.0,1.0,1.0
598,1.0,1.0,0.0,0.0,0.0
599,3.0,0.0,1.0,0.0,2.0
600,5.0,0.0,2.0,3.0,0.0
601,4.0,0.0,0.0,1.0,3.0
602,1.0,0.0,0.0,1.0,0.0
603,1.0,0.0,1.0,0.0,0.0
604,1.0,1.0,0.0,0.0,0.0
605,0.0,0.0,0.0,0.0,0.0
606,3.0,0.0,1.0,1.0,1.0
607,0.0,0.0,0.0,0.0,0.0
608,3.0,0.0,2.0,1.0,0.0
609,4.0,0.0,0.0,0.0,4.0
610,1.0,0.0,1.0,0.0,0.0
611,0.0,0.0,0.0,0.0,0.0
612,0.0,0.0,0.0,0.0,0.0
613,1.0,0.0,1.0,0.0,0.0
614,5.0,0.0,4.0,1.0,0.0
615,0.0,0.0,0.0,0.0,0.0
616,1.0,0.0,1.0,0.0,0.0
617,3.0,0.0,1.0,0.0,2.0
618,1.0,1.0,0.0,0.0,0.0
619,2.0,0.0,0.0,1.0,1.0
620,1.0,0.0,0.0,0.0,1.0
621,2.0,1.0,0.0,0.0,1.0
622,7.0,0.0,0.0,1.0,6.0
623,3.0,0.0,1.0,0.0,2.0
624,4.0,0.0,0.0,1.0,3.0
625,2.0,0.0,0.0,0.0,2.0
626,2.0,0.0,1.0,1.0,0.0
627,5.0,0.0,1.0,1.0,3.0
628,6.0,0.0,0.0,2.0,4.0
